Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
1800c901-f546-4c81-9cef-2c866d302e47,fb16fc06fccc725b8c2675b0be4dbe6f37a0dac61fefdd80d2c9dd1b07b8ec48,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,46,female,Kazakhstan
1800c901-f546-4c81-9cef-2c866d302e47,fb16fc06fccc725b8c2675b0be4dbe6f37a0dac61fefdd80d2c9dd1b07b8ec48,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,46,female,Kazakhstan
1800c901-f546-4c81-9cef-2c866d302e47,fb16fc06fccc725b8c2675b0be4dbe6f37a0dac61fefdd80d2c9dd1b07b8ec48,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,46,female,Kazakhstan
1800c901-f546-4c81-9cef-2c866d302e47,fb16fc06fccc725b8c2675b0be4dbe6f37a0dac61fefdd80d2c9dd1b07b8ec48,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,46,female,Kazakhstan
1800c901-f546-4c81-9cef-2c866d302e47,fb16fc06fccc725b8c2675b0be4dbe6f37a0dac61fefdd80d2c9dd1b07b8ec48,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,46,female,Kazakhstan
1800c901-f546-4c81-9cef-2c866d302e47,fb16fc06fccc725b8c2675b0be4dbe6f37a0dac61fefdd80d2c9dd1b07b8ec48,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,46,female,Kazakhstan
1800c901-f546-4c81-9cef-2c866d302e47,fb16fc06fccc725b8c2675b0be4dbe6f37a0dac61fefdd80d2c9dd1b07b8ec48,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,46,female,Kazakhstan
1800c901-f546-4c81-9cef-2c866d302e47,fb16fc06fccc725b8c2675b0be4dbe6f37a0dac61fefdd80d2c9dd1b07b8ec48,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,46,female,Kazakhstan
1800c901-f546-4c81-9cef-2c866d302e47,fb16fc06fccc725b8c2675b0be4dbe6f37a0dac61fefdd80d2c9dd1b07b8ec48,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,46,female,Kazakhstan
1800c901-f546-4c81-9cef-2c866d302e47,fb16fc06fccc725b8c2675b0be4dbe6f37a0dac61fefdd80d2c9dd1b07b8ec48,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 6000 KZT and the same 50-percent chance of receiving nothing, OR Option 2: 200 KZT as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 200,46,female,Kazakhstan
1800c901-f546-4c81-9cef-2c866d302e47,fb16fc06fccc725b8c2675b0be4dbe6f37a0dac61fefdd80d2c9dd1b07b8ec48,What would you prefer? Option 1: A payment of 2000 KZT today OR Option 2: 2060.0 KZT in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 2060.0,46,female,Kazakhstan
1800c901-f546-4c81-9cef-2c866d302e47,fb16fc06fccc725b8c2675b0be4dbe6f37a0dac61fefdd80d2c9dd1b07b8ec48,Imagine someone did you a favor that cost them 100 KZT. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 200 KZT to return the favor.,Reciprocation 100,46,female,Kazakhstan
1800c901-f546-4c81-9cef-2c866d302e47,fb16fc06fccc725b8c2675b0be4dbe6f37a0dac61fefdd80d2c9dd1b07b8ec48,Imagine someone did you a favor that cost them 200 KZT. How much would you be willing to spend to return the favor? Please answer with a single number.,150 KZT,Reciprocation 200,46,female,Kazakhstan
1800c901-f546-4c81-9cef-2c866d302e47,fb16fc06fccc725b8c2675b0be4dbe6f37a0dac61fefdd80d2c9dd1b07b8ec48,Imagine someone did you a favor that cost them 300 KZT. How much would you be willing to spend to return the favor? Please answer with a single number.,300 KZT,Reciprocation 300,46,female,Kazakhstan
1800c901-f546-4c81-9cef-2c866d302e47,fb16fc06fccc725b8c2675b0be4dbe6f37a0dac61fefdd80d2c9dd1b07b8ec48,Imagine someone did you a favor that cost them 400 KZT. How much would you be willing to spend to return the favor? Please answer with a single number.,400 KZT,Reciprocation 400,46,female,Kazakhstan
1800c901-f546-4c81-9cef-2c866d302e47,fb16fc06fccc725b8c2675b0be4dbe6f37a0dac61fefdd80d2c9dd1b07b8ec48,Imagine someone did you a favor that cost them 400 KZT. How much would you be willing to spend to return the favor? Please answer with a single number.,400 KZT,Reciprocation 400,46,female,Kazakhstan
1800c901-f546-4c81-9cef-2c866d302e47,fb16fc06fccc725b8c2675b0be4dbe6f37a0dac61fefdd80d2c9dd1b07b8ec48,Imagine someone did you a favor that cost them 500 KZT. How much would you be willing to spend to return the favor? Please answer with a single number.,500 KZT,Reciprocation 500,46,female,Kazakhstan
1800c901-f546-4c81-9cef-2c866d302e47,fb16fc06fccc725b8c2675b0be4dbe6f37a0dac61fefdd80d2c9dd1b07b8ec48,Imagine someone did you a favor that cost them 600 KZT. How much would you be willing to spend to return the favor? Please answer with a single number.,600 KZT,Reciprocation 600,46,female,Kazakhstan
1800c901-f546-4c81-9cef-2c866d302e47,fb16fc06fccc725b8c2675b0be4dbe6f37a0dac61fefdd80d2c9dd1b07b8ec48,You unexpectedly received 20000.0 KZT. How much of this amount would you donate to a good cause? Please answer with a single number.,5000,Donation 20000.0,46,female,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 4.,Willingness to take risk,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,5,Good at math,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",50,Present giving,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 6000 KZT and the same 50-percent chance of receiving nothing, OR Option 2: 200 KZT as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 200,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,What would you prefer? Option 1: A payment of 2000 KZT today OR Option 2: 2060.0 KZT in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 2060.0,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,Imagine someone did you a favor that cost them 100 KZT. How much would you be willing to spend to return the favor? Please answer with a single number.,100 KZT,Reciprocation 100,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,Imagine someone did you a favor that cost them 200 KZT. How much would you be willing to spend to return the favor? Please answer with a single number.,200 KZT,Reciprocation 200,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,Imagine someone did you a favor that cost them 300 KZT. How much would you be willing to spend to return the favor? Please answer with a single number.,300 KZT,Reciprocation 300,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,Imagine someone did you a favor that cost them 400 KZT. How much would you be willing to spend to return the favor? Please answer with a single number.,400 KZT,Reciprocation 400,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,Imagine someone did you a favor that cost them 400 KZT. How much would you be willing to spend to return the favor? Please answer with a single number.,400 KZT,Reciprocation 400,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,Imagine someone did you a favor that cost them 500 KZT. How much would you be willing to spend to return the favor? Please answer with a single number.,700 KZT.,Reciprocation 500,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,Imagine someone did you a favor that cost them 600 KZT. How much would you be willing to spend to return the favor? Please answer with a single number.,600,Reciprocation 600,79,male,Kazakhstan
a3e84e1c-bdd0-48e2-a2b0-75e6a5f69557,7d6be70566844d614761db83e31862c426613424fb729d4f2d0c2683ab4a1c6e,You unexpectedly received 20000.0 KZT. How much of this amount would you donate to a good cause? Please answer with a single number.,5000.0,Donation 20000.0,79,male,Kazakhstan
